depth_cm,year,site,sugar,picogram_per_mL,bar_order
670,2016,4,Galactosan,1718.383503,2
670,2016,4,Mannosan,101.918201,1
670,2016,4,Levoglucosan,17.185077,3
680,2016,4,Galactosan,1279.100684,2
680,2016,4,Mannosan,89.930546,1
680,2016,4,Levoglucosan,6.180719,3
690,2016,4,Galactosan,1977.67112,2
690,2016,4,Mannosan,0,1
690,2016,4,Levoglucosan,378.393948,3
700,2016,4,Galactosan,0,2
700,2016,4,Mannosan,117.16342,1
700,2016,4,Levoglucosan,752.055567,3
710,2016,4,Galactosan,810.601916,2
710,2016,4,Mannosan,0,1
710,2016,4,Levoglucosan,1554.414306,3
720,2016,4,Galactosan,0,2
720,2016,4,Mannosan,0,1
720,2016,4,Levoglucosan,962.950967,3
730,2016,4,Galactosan,0,2
730,2016,4,Mannosan,0,1
730,2016,4,Levoglucosan,469.756908,3
740,2016,4,Galactosan,2142.616368,2
740,2016,4,Mannosan,106.385285,1
740,2016,4,Levoglucosan,360.272903,3
750,2016,4,Galactosan,1764.325741,2
750,2016,4,Mannosan,154.27015,1
750,2016,4,Levoglucosan,560.868823,3
760,2016,4,Galactosan,1941.944339,2
760,2016,4,Mannosan,0,1
760,2016,4,Levoglucosan,995.421023,3
770,2016,4,Galactosan,1850.52928,2
770,2016,4,Mannosan,91.391607,1
770,2016,4,Levoglucosan,429.808685,3
